Course Code,Title,Description
APS 2434,- The Cultural Politics of Music in Appalachia,"Examines cultural, political, and social aspects of music in, of, and about Appalachia, including such commercialized and increasingly globalized products as “old-time,” “bluegrass,” and “country.” Ways in which music contests and reproduces social relations of race, class, and gender. Role of migration and racial diversity in formation of Appalachian music. Economic significance of music, such as Virginia’s The Crooked Road as a regional touristic undertaking."
APS 2974,- Independent Study,No description available
APS 2974H,- Independent Study,Honors
APS 2984,- Special Study,No description available
APS 3124,- Societal Health in North America,"Study of human health within and across a variety of geographic contexts in North America. Describe the health consequences of inequity and injustice within and across American contexts. Consider the roles of collectives, social movements, mutual aid, interdisciplinary thinking, power and social justice in addressing pathologies of power and working towards human well-being. Advocate a biosocial lens that considers the dynamic relationships between biology and environmental, social, geographic, and historical contexts."
APS 3214,- History of Appalachia,"Early settlement, religion, the pre-industrial economy, the coming of the coal and lumber industries, labor activism, politics, migration, and regional identity."
APS 3464,- Appalachian Communities,"The concept of community in Appalachia using an interdisciplinary approach and experiential learning. Interrelationships among geographically, culturally, and socially constituted communities, public policy, and human development. Pre: Junior standing."
APS 3624,- Appalachian Literature,"Appalachian literature from the region’s beginnings to the present, including such diverse voices as women, Native American, Affrilachian, LGBTQ, and Latinx populations. Literary perspectives on the relationships between self, family, and community; place and displacement; and humans and the natural world. Analysis of stereotypes that have perpetuated inequity and displacement of power, as well as consideration of regional efforts to reclaim equity, power, place, and identity."
APS 3984,- Special Study,No description available
APS 4034,- Appalachian Languages and Cultures,An empirical examination of how Appalachian speech both reflects and constitutes regional cultures. Emphasis is on applying sociological and anthropological methods and theories to the study of language in use.
APS 4094,- Appalachian Community Research,"Undergraduate participatory community research as applied to issues of cultural heritage, sustainability, and identity. Students engage in projects defined by community groups and organizations as being critical to their well-being, continuity, or growth. Emphasis is on developing concepts of civic professionalism and developmental democracy."
APS 4414,- Issues in Appalachian Studies,Research conducted by students on issues relevant to local or regional sustainability in contemporary Appalachia on contemporary environmental and community issues. Focus on environmental justice ethical issues expressed in or created by various forms of discourse.
APS 4964,- Field Study,No description available
APS 4974,- Independent Study,No description available
APS 4974H,- Independent Study,Honors
APS 4984,- Special Study,No description available
APS 4994,- Undergraduate Research,No description available
APS 4994H,- Undergraduate Research,Honors
AHRM 1014,- Design and Art for Consumers,"Overview of art and design principles and elements with a focus on their application in the creation and promotion of apparel, housing, and residential technology products for diverse consumers. Review of historical art and design trends and theories in relation to these products. Interpretative strategies and methodologies in visual art and design. Exploration of the design process, including examinations of human factors and user needs."
AHRM 1104,- Introduction to AHRM and Student Resources,"Introduction to the Department of Apparel, Housing, and Resource Management (AHRM), majors and curriculum requirements. Introduces students to experiential learning opportunities, undergraduate research, and career opportunities. Exploration of programs and services to enhance awareness of opportunities and support systems available for student success."
AHRM 2014,- Design for Consumers Studio,"Exploration and application of design principles and elements in two-dimensional and three-dimensional designs that support the development and promotion of products for diverse consumers, including apparel, housing, residential technologies.  Application of skills, tools, and methods to the creation of design.  Utilization of the design process to develop plans for consumer products for diverse users.  Design Lab/Studio."
AHRM 2404,- Consumer Rights,"Role of consumers in society and in national and international markets.  Consumer rights, responsibilities, policies, regulations and redress.  Consumer decision making and planned buying.  Current consumer issues such as: product safety, food, health care, housing, environmental impact, banking, credit and insurance from an intercultural perspective."
AHRM 3464,- Appalachian Communities,"The concept of community in Appalachia using an interdisciplinary approach and experiential learning. Interrelationships among geographically, culturally, and socially constituted communities, public policy, and human development. Pre: Junior standing."
AHRM 4984,- Special Study,No description available
ARBC 1105,- Elementary Arabic,"Fundamentals of Arabic with emphasis on developing proficiency for communication through reading, writing, speaking, listening, and cultural competence.ARBC 1105is for students with no prior knowledge of the language."
ARBC 1106,- Elementary Arabic,"Fundamentals of Arabic with emphasis on developing proficiency for communication through reading, writing, speaking, listening, and cultural competence.ARBC 1106is for students who have completedARBC 1105or the equivalent. Completion of 1106 meets the university language requirement."
ARBC 1114,- Accelerated Elementary Arabic,"Proficiency-oriented approach to Elementary Arabic, designed for learners who wish to progress rapidly through the beginning stages of language learning. Develops speaking, listening comprehension, reading comprehension, writing, and cultural competency at the novice-high level. Duplicates 1105 and 1106. Not recommended for Native Speakers."
ARBC 2105,- Intermediate Arabic,"2105: First course in the intermediate-level sequence in Arabic. Review of grammar with increasing emphasis on reading, writing, cultural competency, and oral communication."
ARBC 2106,- Intermediate Arabic,"2106: Second course in the intermediate-level sequence in Arabic. Reinforcement of reading, writing, speaking, listening, and cultural competency skills, allowing students to consolidate and expand on their previous knowledge and preparing them for third-year Arabic. Not recommended for native speakers."
ARBC 2774,- Arab Culture and Civilization,"Overview of Arab culture and civilization, with an emphasis on the modern Middle East.  Familiarizes students with the geography, history, politics and sociology of the Arab world and identifies the cultural forces that shape current events in the region.  Explores the impact of colonialism, war, religion, gender relations, and media technologies in the Arab world. Taught in English."
ARBC 2974,- Independent Study,No description available
ARBC 2984,- Special Study,No description available
ARBC 3105,- Advanced Arabic,"3105: First course in the advanced-level sequence in Arabic. Practice in communication skills in Arabic both orally and in writing, including review of grammar, directed composition, and conversation, with an emphasis on pronunciation, cultural competency, and oral expressions. Not recommended for native speakers. 3106: Second course in the advanced-level sequence in Arabic. Reinforcement of oral proficiency, reading, grammar, and writing skills, allowing students to explore a broad range of texts of general and professional interest. Not recommended for native speakers."
ARBC 3106,- Advanced Arabic,"3106: Second course in the advanced-level sequence in Arabic. Reinforcement of oral proficiency, reading, grammar, and writing skills, allowing students to explore a broad range of texts of general and professional interest. Not recommended for native speakers."
ARBC 3124,- Arabic for Oral Proficiency,"Devoted to the acquisition of spoken dialect and the enhancement of cultural competency. Provides students with the skills necessary to modify the pronunciation and grammar rules of Modern Standard Arabic in order to speak and comprehend conversational Arabic at the intermediate level. Emphasis on speaking, listening comprehension, daily-life experiences, body-language, and cultural knowledge. Not recommended for native speakers."
ARBC 3274,- War and Arab Culture,"Cultural production related to war and violent conflict in the Arab world. Cultural, intellectual, and historical contexts of war in the Arab world. Arab cultural production as a reflection of political, economic, and social change in modern Arab societies, and representations of war in the Arab world in Western cultural production. Explores themes including trauma and memory, displacement, political propaganda, nationalism, and religious and ideological conflict as represented in various genres, including literature, music, and visual art. Taught in English."
ARBC 3304,- Modern Arabic Literature in Translation,"Familiarizes students with the cultural, intellectual, and historical contexts of major Arabic literary texts. Provides students with skills necessary to analyze the rhetorical devices and literary techniques of the texts under study. Texts from major literary genres include poems, short stories and realist and experimental novels. Explores topics including postcolonialism, resistance, war, romance, tradition, religion, feminism, and pop culture. Taught in English."
ARBC 3474,- Topics in Arab Cinema,"Examination of the cultural, intellectual, and historical contexts of Arab cinematic works. Exploration of the ways in which Arab cinema reflects the dynamics of political, economic, and social change in modern Arab societies, as well as how the Arab world is represented in Western films. Variable topics such as war and conflict, terrorism, postcolonialism and movements for national independence, feminism, gender and sexuality, and globalization. Taught in English. Variable content. May be repeated 2 times with different content for a maximum of 6 credits."
ARBC 3514,- Media Arabic,"Reading and listening comprehension, analysis, writing, translation, and cultural conventions pertaining to Arabic print and broadcast media."
ARBC 3644,- Religion in the Middle East,"Critical issues in religion in the Middle East. Competing methods for analyzing religion in the Middle East. Key concepts relating to religion and inter-religious relations in the Middle East such as minority, majority, tolerance, citizenship, and family law. Critical thinking about the relationship between Islam and other religions with particular reference to Muslim-Jewish and Muslim-Christian relations."
ARBC 3954,- Study Abroad,No description available
ARBC 3984,- Special Study,No description available
ARBC 4104,"- Advanced Grammar, Conversation, and Cultural Competency","Focus on enhancing students’ conversational skills in formal and colloquial usage, analysis and application of advanced grammatical and stylistic devices, reading and listening comprehension and cultural competence in norms and social practices in the Arab world."
ARBC 4154,- Advanced Composition and Stylistics,"Intensive work in written Arabic. Devoted to enhance the grammar, stylistics, writing, and cultural competency of Arabic students at the advanced level. Emphasis on analyzing and writing personal, academic, and professional texts, with attentiveness to the cultural conventions common to each genre."
ARBC 4334,- Research in Arab Culture,"Interpretation of sources about Arab culture. Examination of the historical, intellectual, and cultural contexts of major cultural productions. Integration of authentic Arabic language texts into research. Analysis of the impact of gender, race, and class on cultural productions in the Arab world. Taught in English."
ARBC 4974,- Independent Study,No description available
ARBC 4984,- Special Study,No description available
ARBC 4994,- Undergraduate Research,No description available
ARCH 1004,- Understanding Community through your Campus,"The Virginia Tech campus as both a place and an idea. Explore the physical campus and learn how to recognize its elements. Determine where you are physically, as a community, and as part of an academic tradition. Identification of campus landmarks and navigational exploration. Measure and assess the campus and its spaces and objects, both real and virtual. Place this campus in relation to wider campus ideal and Virginia Tech history. Discussion of custodianship of land by indigenous people and history of black communities in Blacksburg and surrounding areas. Discussion of how and to whom the campus is accessible. Analysis of its buildings, spaces, and branded artifacts in verbal, digital, and drawn representation of the images, forms, and spaces students have observed. Recognition and analysis of both explicit and implicit messages in buildings, objects, and spaces. Come to an understanding of how human-made structures act as stage sets or active frameworks in which we can act out our roles of as members of communities of various kinds and at various scales."
ARCH 1015,- Foundation Design Laboratory,"Foundation Design Lab is an immersive, interactive learning environment focused on inquiry, experimentation, discovery, and synthesis for students studying architecture, landscape architecture, interior design, and industrial design. The design lab develops self-reliance and self-critique, opens intellectual horizons, and challenges students to continually expand and deepen their aesthetic judgement and critical understanding. Course contact to credit hour structure: Lecture (1H,1C), Lab (6L, 2C), Design Lab/Studio (5L,3C)."
ARCH 1016,- Foundation Design Laboratory,"Foundation Design Lab is an immersive, interactive learning environment focused on inquiry, experimentation, discovery, and synthesis for students studying architecture, landscape architecture, interior design, and industrial design. The design lab develops self-reliance and self-critique, opens intellectual horizons, and challenges students to continually expand and deepen their aesthetic judgement and critical understanding. Course contact to credit hour structure: Lecture (1H,1C), Lab (6L, 2C), Design Lab/Studio (5L,3C)."
ARCH 1024,- Innovative Design Thinking,"Engages students in learning environment of the design laboratory, which is interactive inquiry, experimentation, discovery, and synthesis.  Develops thinking and making skills in 2D and 3D across multiple scales. Advances abilities to solve problems through exploring strategies with viable consequences. Engages students in a series of iterative drawing, and modeling exercises relevant to architecture and design education.ARCH 1024is restricted to incoming freshmen."
ARCH 1034,- Seeing Design: Transforming Observations,"Introduces students to ways of perceiving, and recording the built and natural environment in Southwest Virginia. Introduces students to travel studies as an essential part of their architecture and design education. Transforms students observational skills. Employs photography and sketching as means of documenting findings. Employs screenprinting and digital technologies as a way to transform documentation.  Prepares students for an exhibition of their work, including oral presentations.ARCH 1034is restricted to incoming freshmen."
ARCH 1044,- Life in the Built Environment,"Development of the human-made environment has shaped our social relations, culture, and identity. Discussion of how the imposition of built form has served both to define a shared culture and as a means of exclusion and injustice. Study of equity and ethics as evidenced and continued in planning, construction, and public space. Learn how the knowledge of these past structures might shape the future of the built environment in the United States in ways that are more equitable, inclusive, and sustainable."
ARCH 1115,- Qualifying Design Laboratory,"1115: An immersive, interactive course focused on inquiry, experimentation, discovery, and synthesis.  Employs a series of iterative drawing and modeling exercises, at a beginners level, in two and three dimensions across multiple scales. Develops self-reliance and self-critique, which opens intellectual horizons. Challenges expand and deepen aesthetic judgment and critical understanding. Develops fundamental thinking and making skills that advance their abilities to solve problems by exploring strategies toward viable consequences. Restricted to students transferring into the School of Architecture + Design and changing their major to architecture, landscape architecture, interior design, or industrial design. 1116: An immersive, interactive course focused on inquiry, experimentation, discovery, and synthesis. Employs a series of iterative drawing and modeling exercises, at an intermediate level, in two and three dimensions across multiple scales. Develops self-reliance and self-critique, which opens intellectual horizons. Challenges expand and deepen aesthetic judgement and critical understanding. Advances foundational thinking and making skills that develop their abilities to solve problems by exploring strategies toward viable consequences. Restricted to students transferring into the School of Architecture + Design and changing their major to architecture, landscape architecture, interior design, or industrial design."
ARCH 1116,- Qualifying Design Laboratory,"An immersive, interactive course focused on inquiry, experimentation, discovery, and synthesis. Employs a series of iterative drawing and modeling exercises, at an intermediate level, in two and three dimensions across multiple scales. Develops self-reliance and self-critique, which opens intellectual horizons. Challenges expand and deepen aesthetic judgement and critical understanding. Advances foundational thinking and making skills that develop their abilities to solve problems by exploring strategies towards viable consequences. Restricted to students transferring into the School of Architecture + Design and changing their major to architecture, landscape architecture, interior design, or industrial design."
ARCH 1984,- Special Study,No description available
ARCH 2004,"- Architecture and Culture: Buildings, Equity and Climate","Interdisciplinary and cross-cultural study of architecture and its context - fundamental architectural ideas, how and why buildings are built, how spaces are occupied and by whom, and how external forces (such as social, political, economic, and environmental) inform architecture’s construction and occupation. Examine key buildings from cultures around the world through architectural artifacts, texts, and drawings, employing both disciplinary and interdisciplinary perspectives. Analyze how these buildings operated within diverse cultures to investigate the mutual influence between architecture and its context over time. Develop coherent, evidence-based arguments, drawing on insights from both discipline-specific and interdisciplinary approaches. Develop recommendations for inclusive, equitable, and climate-responsive architecture."
ARCH 2015,- Architecture II,"Introduction to the theory and practice of architecture. Discipline-specific investigations into how architecture concentrates and conveys natural and cultural influences. Focus on building design as a comprehensive activity balancing numerous concerns including aesthetic, history, materiality, tectonics, and spatial expression. Examination of the relationship between the built and natural environments, including the effects of construction and environmental factors. Qualitative approaches to how architecture contributes to human wellbeing. Identification of relevant areas of interest and modes of inquiry to enrich current work and serve as a basis for self-directed learning. Immersion in the design laboratory ('studio') learning environment. 2015: How architecture concentrates and expresses natural and cultural influences, as well as how it addresses the well-being of individuals and society, through design investigations of varied scales and complexity. Identifying and connecting the fundamentals that comprise the multidimensional wholeness of a work of architecture. Selecting, describing, and analyzing relevant precedents. How architecture and the arts are similar and different, as well as how different fields of knowledge relate to architecture as a cultural and technological production. Discipline-specific
modes of communication. 2016: Continued exploration of the dynamic between built and natural environments, including site, environmental forces, and construction impacts; how architecture contributes to human wellbeing. Speculation, development, and communication of architectural proposals. Developing creative source materials by examining a problem from various disciplinary and cultural perspectives. Increasingly complex design work.
Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 2016,- Architecture II,"Introduction to the theory and practice of architecture. Discipline-specific investigations into how architecture concentrates and conveys natural and cultural influences. Focus on building design as a comprehensive activity balancing numerous concerns including aesthetic, history, materiality, tectonics, and spatial expression. Examination of the relationship between the built and natural environments, including the effects of construction and environmental factors. Qualitative approaches to how architecture contributes to human wellbeing. Identification of relevant areas of interest and modes of inquiry to enrich current work and serve as a basis for self-directed learning. Immersion in the design laboratory ('studio') learning environment. 2015: How architecture concentrates and expresses natural and cultural influences, as well as how it addresses the well-being of individuals and society, through design investigations of varied scales and complexity. Identifying and connecting the fundamentals that comprise the multidimensional wholeness of a work of architecture. Selecting, describing, and analyzing relevant precedents. How architecture and the arts are similar and different, as well as how different fields of knowledge relate to architecture as a cultural and technological production. Discipline-specific
modes of communication. 2016: Continued exploration of the dynamic between built and natural environments, including site, environmental forces, and construction impacts; how architecture contributes to human wellbeing. Speculation, development, and communication of architectural proposals. Developing creative source materials by examining a problem from various disciplinary and cultural perspectives. Increasingly complex design work.
Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 2034,- Art of Building,"Introduction to architecture identifying the fundamental considerations that contribute to the complex totality of a work of architecture. Interrelationships of context, structure, materiality, and technology toward accommodation and advancement of human activities and well-being. Context as preexisting factors and forces of any given site of architecture, not limited to cultural, historical, geographical, and environmental, including topography and climate. Contemporary precedents emphasizing the diversity of cultural practices and values around the globe."
ARCH 2044,- Building Materials,"Introduction to the attributes of materials with which buildings are built such as masonry, reinforced concrete, steel, stone, timber, glass and insulation; introduction of the impact of soil, vegetation, watersheds and other natural conditions on buildings and their material fabrication."
ARCH 2114,- Sustainability by Design,"Design decision-making in complex contexts. Ethical issues underlying design for sustainability. Evaluation of design in systems, products, places, and modes of living using the Framework for Strategic Sustainable Development (FSSD). Historical and cultural underpinnings of design and sustainability."
ARCH 2974,- Independent Study,No description available
ARCH 2984,- Special Study,No description available
ARCH 3015,- Architecture III,"Architectural design principles, technical concepts, applications, and measures of quality. Ongoing development of key professional skills such as modes of inquiry, problem structuring, drawing and modeling, workflows, and critique. Site, program, structural, regulatory, and environmental influences addressed in architectural formulations. Development of independent interests, research pursuits, and modes of working. 3015: Various materials and techniques of building design. The technical language of describing designed structures. Human experience, health & wellness, user needs, and regulatory standards in the built environment at multiple scales. Analysis of programmatic and site variables that influence design decisions and resource and environmental stewardship objectives. How fundamental design concepts (idea, movement, structure) and human occupation (context, program, experience) intersect with technical constructive knowledges (assembly, materials, building systems). Subjective
measures of quality in design. 3016: Continued studies in materials and techniques of building design. Building assemblies documented in technical
drawing, modeling, and writing. Interweaving of fundamental design concepts, human occupation, and technical constructive knowledges. How subjective and measurable (resource, environmental stewardship) criteria impact design decisions. Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 3016,- Architecture III,"Architectural design principles, technical concepts, applications, and measures of quality. Ongoing development of key professional skills such as modes of inquiry, problem structuring, drawing and modeling, workflows, and critique. Site, program, structural, regulatory, and environmental influences addressed in architectural formulations. Development of independent interests, research pursuits, and modes of working. 3015: Various materials and techniques of building design. The technical language of describing designed structures. Human experience, health & wellness, user needs, and regulatory standards in the built environment at multiple scales. Analysis of programmatic and site variables that influence design decisions and resource and environmental stewardship objectives. How fundamental design concepts (idea, movement, structure) and human occupation (context, program, experience) intersect with technical constructive knowledges (assembly, materials, building systems). Subjective
measures of quality in design. 3016: Continued studies in materials and techniques of building design. Building assemblies documented in technical
drawing, modeling, and writing. Interweaving of fundamental design concepts, human occupation, and technical constructive knowledges. How subjective and measurable (resource, environmental stewardship) criteria impact design decisions. Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 3054,- Building Analysis,"Study of exemplary built works of architecture through analysis of design documents, interviews, and inspection of actual construction.  Course is completed as a group project resulting in both an oral presentation and a written document."
ARCH 3065,- Building Materials and Assemblies,"Study of what buildings are made of and how buildings are made, in support of architectural design decisions. Attributes of building materials informing their selection and use in buildings. Design and representation of building assemblies, systems, and details, including primary and secondary structural systems, the building envelope, and sub-assemblies, as influenced by formal design ideas, geometry, structure, construction processes, weather resistance, human health and well-being, and environmental impact and sustainability. 3065: Focus on wood, masonry, concrete, and steel construction systems; subsurface conditions and foundations; building codes, life-safety, and accessibility; and basic principles of building envelope systems. 3066: Review of wood, masonry, concrete, and steel construction. Focus on design of building envelope/enclosure wall systems and roofs, including consideration of water resistance, thermal insulation, air infiltration, and vapor control; building cost considerations; and appropriate modes of representation for detailed design decisions."
ARCH 3066,- Building Materials and Assemblies,"Study of what buildings are made of and how buildings are made, in support of architectural design decisions. Attributes of building materials informing their selection and use in buildings. Design and representation of building assemblies, systems, and details, including primary and secondary structural systems, the building envelope, and sub-assemblies, as influenced by formal design ideas, geometry, structure, construction processes, weather resistance, human health and well-being, and environmental impact and sustainability. 3065: Focus on wood, masonry, concrete, and steel construction systems; subsurface conditions and foundations; building codes, life-safety, and accessibility; and basic principles of building envelope systems. 3066: Review of wood, masonry, concrete, and steel construction. Focus on design of building envelope/enclosure wall systems and roofs, including consideration of water resistance, thermal insulation, air infiltration, and vapor control; building cost considerations; and appropriate modes of representation for detailed design decisions."
ARCH 3115,- Histories of Architecture,"Disciplinary study of architecture across time (pre-history to present) and across continents (Eastern, Western, Northern, and Southern hemispheres).  Histories, principles, and factors grounding architecture’s expression, form, and methods. Architecture as a cultural production reflective of its social, political, artistic, intellectual, technological, and environmental context.  Exploration through artifacts, texts, drawings.ARCH 3115: emphasis on artifacts and architecture between 25000 BCE and 1600 CE;ARCH 3116: includes architectural productions from 1600 CE to present."
ARCH 3116,- Histories of Architecture,"Disciplinary study of architecture across time (pre-history to present) and across continents (Eastern, Western, Northern, and Southern hemispheres).  Histories, principles, and factors grounding architecture’s expression, form, and methods. Architecture as a cultural production reflective of its social, political, artistic, intellectual, technological, and environmental context.  Exploration through artifacts, texts, drawings.ARCH 3115: emphasis on artifacts and architecture between 25000 BCE and 1600 CE;ARCH 3116: includes architectural productions from 1600 CE to present."
ARCH 3204,- Topics Modules in Architecture History & Theory,"Discrete topics in design theory, history, criticism, research methods, and representation. How historic, social, political, technological, and/or economic factors shape the built environment. Historical and contemporary significance of architectural productions within cultural dimensions of human history. How discrete modes of verbal, textual, visual, graphic, or spatial representation influence and reflect understanding relative to architectural form and
ideas. May be repeated 2 times with different content for a maximum of 3 credit hours."
ARCH 3224,- Topics Modules in Architectural Media and Methods,"Properties and uses of media, materials and processes as tools for analysis, documentation, and presentation of the designed environment. Media properties and processes. Selection of workflows. Appropriate use and maintenance of tools. Iterative design and evaluating outcomes. May be repeated 2 times with different content for a maximum of 3 credit hours. Design Lab/Studio (2L, 1C)"
ARCH 3234,- Topics Modules in Architecture and Praxis,"Specialized topics in the practice of architecture related to designing, planning, and managing the built environment. Factors that inform and impact both design processes and outcomes, such as environmental justice, professionalism, sustainability, inclusivity, and technology. Established and emerging frameworks of architectural practice in fostering the continuous improvement of the discipline. How architects and architecture can contribute to a variety of academic and professional contexts. Teamwork and leadership. May be repeated 2 times with different content for a maximum 3 credit hours."
ARCH 3304,- Topics in Architecture History & Theory,"Discrete topics in architecture theory, history, criticism, research methods, and representation. How historic, social, political, technological, and economic factors shape the built environment. Historical and contemporary significance of architectural productions within cultural dimensions of human history. The works and ideas of architects, urban planners, historians, theorists, and educators in the context of contemporary architecture. Critical discourse and inquiry. May be repeated 2 times with different content for a total of 9 credit hours."
ARCH 3504,- Topics in Architectural Media and Methods,"Topics in properties and uses of media, materials, and processes as tools for craft, analysis, documentation, and presentation of the designed environment. Media properties, materials and processes. Selection of workflows. Appropriate use and maintenance of tools. Interplay between media properties and workflows. Iterative design and evaluating outcomes. Parallel practices, techniques, and structures of thinking and
making. May be repeated 1 time with different content for a maximum of 6 credit hours. Design Lab/Studio (1H, 3L, 3C)"
ARCH 3604,- Topics in Architecture and Praxis,"Specialized topics in the practice of architecture related to designing, planning, and managing the built environment. Develop professional expertise with the knowledge, tools, and processes of the given topic through study, use, and reflection. Existing and emerging theories and frameworks that govern the practice of architecture and its outcomes in the constructed environment. Tools, methods, and practices towards the design of responsive, inclusive, and sustainable works of architecture. Position taken on an individual level within the profession of architecture. May be repeated 1 time with different content for a maximum of 6 credit hours."
ARCH 3900,- Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan."
ARCH 3954,- Study Abroad,No description available
ARCH 3974,- Independent Study,No description available
ARCH 3984,- Special Study,No description available
ARCH 4004,- Architecture IV - Option Lab,"Advanced architecture laboratory with specialized design options, off-campus domestic and study abroad opportunities, technical research, and professional internships. Role of design processes in shaping the built environment in response to multiple factors and across diverse contexts. Immersion in professional or specialized settings to contextualize the student's position in the discipline. Development of student-driven course of action for pursuing ongoing professional interests through engagements with, and contributions to, disciplinary research and discourse. Engagement of new territories of inquiry and representation in design work. Critical professional skills in documentation of technical and discursive dimensions of architectural works. Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 4014,- Architecture IV - Integrative Design,"Integration of site, program, constructive systems, and regulatory and environmental frameworks to develop conceptually sound and technically feasible architectural works. Application of design research, including precedent analysis and case studies of existing works. Advanced representation techniques including written, graphic, and physical artifacts. Criticism and dialogue. Individual growth in areas of ongoing interest, research, and modes of study in architectural practice. Repeatable one time, Max. 16 cr. Hybrid Lecture (2H, 2C), Lab (15L, 5C), Design Lab/Studio (2L, 1C) (2H, 17L, 8C)"
ARCH 4034,- Building Cities,"Analytical studies in the historical evolution of cities, towns and villages.  Comparative studies of urban form in relation to their constructive and imaginative means with an emphasis on modern construction processes.  Specific case studies in designing and building cities."
ARCH 4044,- Professional Practice in Architecture,"Role and responsibilities of the profession on the environment, public health, and social welfare. Professional ethics. Contributions to policymaking and the building enterprise through leadership, advocacy, and civic engagement. Issues of equity, diversity, and inclusion in the profession, the environments where we practice, and the places we design. Roles, responsibilities and viewpoints of the commissioning, design, and construction ensemble. Contracts, compliance, and risk management. Starting, running, and maintaining a profitable architecture practice to achieve design goals. Methods and technologies for delivering projects. Leadership and professional communication skills, including oral, written, and visual presentations, negotiations and conflict resolution, and interpersonal communication in collaborative teams, interviews, and public meetings. Pursuing licensing, specialization, and/or nontraditional career trajectories. Change and future practice forms."
ARCH 4055,- Environment and Building Systems,"A design oriented study of environmental forces, environmental impacts of the built environment, and related building environmental control, life safety and service systems, with concern for the human psycho-physical impacts of building form and systems performance."
ARCH 4056,- Environment and Building Systems,"A design oriented study of environmental forces, environmental impacts of the built environment, and related building environmental control, life safety and service systems, with concern for the human psycho-physical impacts of building form and systems performance."
ARCH 4075,- Building Structures,"Building structures in steel, timber, and reinforced concrete; design of typical components: beams, slabs, columns, beam-columns, connections, and foundations; design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings."
ARCH 4076,- Building Structures,"Building structures in steel, timber, and reinforced concrete; design of typical components: beams, slabs, columns, beam-columns, connections, and foundations; design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings."
ARCH 4114,"- Ideas, Concepts, and Representations of Architecture","Disciplinary study of ideas, concepts, and representations that have shaped architecture across time (Common Era). Emphasis on ideational constructs and their varied modes of transmission (from textual to oral communications, drawings to images, buildings to models) in relation to the projecting of architecture. Architectural theories and their transmission as cultural productions reflective of societal, ethical, intellectual, environmental, and technological contexts. Presentation and reflection upon architectural discourse itself through written and oral communication."
ARCH 4124,- Advanced Topics in Architecture History & Theory,"Advanced design theory, history, critique, study, and representation. How history, politics, technology, and economics affect architecture and the built environment. Architectural significance. Architectural social, economic, and cultural content. Direct observation, reading, and discourse in architectural criticism. Course may be repeated with different content 2 times for a maximum of 9 credit hours."
ARCH 4144,- Advanced Building Structures I,"Study of long-span building structures. Introduction to geometry, form, and structure of folded and bent surfaces. Study of space grid geometry, close-packing systems, and cellular tensegrity. Approximate design of folded plate structures, single and double curvature shells, single and double layer space frames, suspension roofs, tents, and pneumatic structures."
ARCH 4154,- Advanced Building Structures II,"Study of highrise structures ranging from building slabs and blocks, terraced buildings, and skyscrapers to towers. The complexity of load action including wind, earthquake, and hidden loads. The effect of building height, form, and proportion on force action; considerations of stability and redundancy. Preliminary design of masonry buildings, core structures, suspension buildings, braced skeletons, rigid frames, interstitial systems, staggered truss buildings, tubes and hybrid structures."
ARCH 4324,- Advanced Topics in Architectural Media and Methods,"Advanced topics in architectural media, materials, and processes as tools for analysis, documentation, and presentation of the designed environment. Relationship between media characteristics and processes, applied to a wide range of media types and areas of study. Selection of appropriate tools and workflows. Managing and maintaining toolsets and workspaces. Forms of design research and innovation. Iterative design and evaluating outcomes. Creative practice and discourse. May be repeated 1 time with different content for a maximum of 6 credit hours. Design Lab/Studio (1H, 3L, 3C)."
ARCH 4414,- Advanced Environment Building Systems,"Advanced studies of environment and building systems, including development in building systems, urban systems, service systems, construction systems, materials and component systems, psycho-physical considerations, systems analysis, and computer technology. May be repeated for a maximum of 9 credit hours in varied options offered."
ARCH 4424,- Advanced Topics in Architecture and Praxis,"Advanced topics in the practice of architecture related to designing, planning, and managing the built environment. Innovative knowledge, frameworks, and models for an increasingly just, adaptable, and built environment and profession. Alternative approaches to defining, creating, and value for clients, communities, and employees. May be repeated 1 time with different content for a maximum of 6 credit hours."
ARCH 4434,- Architectural Lighting Design,"Advanced level lecture course focused on lighting. Impact on, need for and measurement of light for humans and the built and natural environments. Selection of color, light sources, equipment and controls. daylight integration. Lighting design, visualization and calculations through hand and digital methods. Evaluation of lighting system energy efficiency and cost. Presentation of lighting design."
