name,description
Civil and Environmental Engineering Graduate Student Council,We are a student-run organization which aims to build a community among the Civil and Environmental Engineering (CEE) graduate students and facilitate networking.
Classics Club of Blacksburg,"The Classics Club hosts movie nights, reading marathons, road trips to lectures and conferences, the annual Saturnalia and Bacchanalia parties, and the annual Classics t-shirts."
Club Jump Rope at Virginia Tech,"The purpose of Club Jump Rope at Virginia Tech is to increase awareness of and involvement in the sport of jump rope, promote physical fitness and healthy lifestyles, engage in volunteering and mentoring in the community, provide opportunities for performance, competition, and teaching, and to offer a fun, inclusive, and athletic environment for students at Virginia Tech."
Club Management Association of America at Virginia Tech,"Join a group of students passionate about club management and meet more across the country! CMAA is a nationwide organization that includes club managers, aspiring club managers, club staff, and hundreds of students."
Cochrane Hall Community,A gathering space for the residents of Cochrane Hall.
Cochrane Hillcrest RA Staff,A gathering space for the resident advisors of Cochrane Hall and Hillcrest Hall.
Collaborative Coding Activities,"Our meetings start on Sunday, 9/15, from 2:00 pm to 3:30 pm at Holden Hall, room 244. They reoccur every Sunday."
College Life in Christ,"College Life in Christ is a diverse group of young people made up of students attending Virginia Tech, Radford, NRCC, and VCOM. We believe it is vital for us to share Christ together while sharing our lives together as college students."
College Mentors for Kids at Virginia Tech,"Our Mission: We connect kids to college students through weekly on-campus activities that inspire growth, confidence, and brighter futures.

Through weekly after-school activities focused on higher education and career, culture and diversity, and community service, mentors help their ""little buddies"" understand the importance of education, show them the benefits of cultural understanding, and teach them ways to give back to their community."
College of Agriculture and Life Sciences Diversity Council,"The College of Agriculture and Life Sciences is committed to creating a climate that reflects the diversity of its students, staff, and faculty in its teaching, research projects, Extension programs and international activities. Likewise, the College respects individuals for their unique qualities, and their many contributions toward enhancing a culturally rich, university environment.    "
College of Natural Resources and the Environment Student Council,"We, the CNRE Student Council at Virginia Polytechnic Institute and State University, henceforth referred to as Virginia Tech, recognize the need for enhanced communication, engagement, and cooperation between the organizations within the CNRE, the student body of the CNRE, and the administration of the CNRE. We also recognize the need for a collective, unified, and representative voice for the values and interests of the departments and the organizations within the CNRE. The comprehensive, collaborative efforts of the CNRE Student Council will be directed towards the improvement of, promotion of, and service to the student body of the CNRE."
College of Science,"Welcome to the College of Science's GobblerConnect page! This page will have event information for students, like our community nights and our Undergraduate Research Mixer. "
College Republicans at Virginia Tech,"Virginia Tech's Premier voice and organization for young conservatives. Whether you lean libertarian, or classically conservative, CR's may be for you. We strive to promote conservative values, and work to get GOP candidates elected to public office. Opportunities to build connections within the Republican caucus in Virginia and get involved in the political process.  Interested in helping Republican Candidates win around the New River Valley and VA?  This is the club for you! "
Collegiate Beef Leadership Council at Virginia Tech,"The purpose of the Collegiate Beef Leadership Council at Virginia Tech and its members shall be to serve as knowledgeable advocates for the beef industry to the general public, with a special emphasis on the Virginia Tech campus community, to develop and strengthen relationships between Virginia Tech students and beef industry leaders, and to promote the development of leadership among members to secure a positive future for agriculture and the beef industry."
Collegiate Times,"Welcome! The Collegiate Times is an independent, student-run newspaper that serves both Virginia Tech and Blacksburg. Our coverage ranges from football games and town council meetings to movie reviews and political columns. Staff members include writers, designers, photographers, multimedia producers and copy editors. "
Collegiate Women in Business, 
Collegiate Young Farmers at Virginia Tech,"Collegiate Young Farmers at Virginia Tech are young adults who share an interest in supporting agriculture through production, education, promotion, advocacy, and leadership. We are affiliated with the Virginia Farm Bureau Young Farmers and meet on the 2nd and 4th Wednesday of every month. Any undergraduate with an interest in agriculture can join at any time. Please attend one of our meetings to find out more! Check out our Facebook and Instagram page for more information!"
ColorStack at Virginia Tech,ColorStack's mission is to increase the number of Black and Latinx Computer Science graduates that go on to start rewarding technical careers
Commission on Student Affairs,"Areas which are considered by CSA include: student relations with peers, staff, faculty, administrators, alumni, and the community; student organizations, social life, and recreation; employment, placement, and counseling; residential life, health, safety, and quality of student related services; and other matters affecting student life."
CommLab,"CommLab extends the classroom experience and provides support for public-speaking based class assignments and special projects. Graduate and undergraduate students trained in public speaking are available to help students with all areas of the speech making process, including"
Commodity Investing by Students,"Commodity Investing by Students (COINS) is the only student-run commodities trading group in the United States and invests a portfolio of $1.3 million of the Virginia Tech Endowment. The organization is currently composed of four divisions: Agriculture, Metals, Energy, and Quant. Trades are bases on a combination of technical and fundamental analyses. COINS has a goal to outperform the Bloomberg Commodity Index, a benchmark set by the Virginia Tech Foundation."
Communications and Innovative Technologies,Provides communication and marketing support for Student Affairs
Community Change Collaborative,"The Community Change Collaborative (CCC) is a graduate student group that examines the methods, frameworks, and forces shaping community development, approaches to community engagement, and how to build sustainable, cross-sectoral partnerships. Our interdisciplinary research interests range from local to international case studies, applying a variety of qualitative and mixed methods approaches to connect theory and praxis for the benefit of our members, community partners, practitioners, and researchers interested in community change. We meet weekly as a group to explore theories and methods critically, which often leads to lively, educational discourse that informs our professional and personal development."
Companion Animal Club,"Companion Animal Club’s goal is to emphasize the many facets of small animal medicine, particularly specialized disciplines not emphasized in the DVM curriculum such as dentistry, nutrition, shelter medicine, integrative medicine, and feline medicine. Opportunities include wet labs, speakers, rounds, and clinical shadowing experiences. This club is restricted to DVM students at Virginia-Maryland College of Veterinary Medicine only."
Competitive Mock Trial Team at Virginia Tech,"Competitive Mock Trial at Virginia Tech is an organization designed to help students become more exposed to the courtroom, improving public speaking skills, adaptability, and interpersonal relations with others interested in the legal field. During the course of the year, the team works together to prepare cases, learning the ins and outs of the courtroom."
Competitive Robotics Organization at Virginia Tech,Learn more and apply on our website! vtcro.org
Compress and Shock at Virginia Tech,"An organization dedicated to further fulfilling the mission of the Compress and Shock Foundation of teaching the life skills of CPR and AED usage to everyone, specifically targeting the Hokie community. Our club is dedicated to providing monthly CPR and AED education classes at Virginia Tech and local NRV communities with the goal of expanding knowledge and participation in our local communities. "
Computational Modeling and Data Analytics Club,"CMDA Club aims to be an interdisciplinary academic club serving not only CMDA students, but any students in relevant studies, or with interest in the field. Involvement will include discussion of modern techniques and applying them in competitions. CMDA club hosts ASA Datafest competition annually in the spring semester in addition to assisted mini data competitions throughout the school year. These competitions allow networking with companies and an environment in which to apply skills and techniques learned in class on large data sets. CMDA club also aims to give underclassmen (open to all) the opportunity to learn new skills through workshops conducted by professionals and professors."
Computer Science Careers at Virginia Tech,"CS Careers @ VT is your gateway to unlocking a successful future in the tech industry! Established in the Fall of 2022, our organization has rapidly become a hub for connecting ambitious students like you with top companies and tech opportunities. Whether you're majoring in Computer Science or have a passion for technology, CS Careers @ VT is the community for you."
Computer Science Open Source at Virginia Tech,"The organization's mission is to introduce people to the world of open-source projects by educating them about what these projects entail and how to contribute. We host introductory sessions on git/ github, starting contributions, invite guest speakers, and organize teams with mentors to work on open projects.

Join our Discord!: https://discord.gg/AhrbBsmN"
Consumer Interest Organization at Virginia Tech,"The Consumer Interest Organization at Virginia Tech is a student organization for students interested in consumer issues, increasing consumer awareness, professional development opportunities, and community service. This organization meets regularly on campus and provides opportunities for social networking among students, professional development, and industry networks."
Cook Counseling Center,"Thomas E. Cook Counseling Center is the counseling and mental health resource on campus for Virginia Tech students. Cook Counseling Center is committed to offering counseling services to Virginia Tech students no matter what is troubling them. These services include individual counseling, group counseling, couples therapy, career counseling and more. Thomas E. Cook Counseling Center provides opportunities for students to learn more about themselves as individuals, form deeper relationships with their peers and grow to benefit our community and society at large."
Cornerstone Christian Fellowship,"Cornerstone Christian Fellowship (CCF) is a campus fellowship at Virginia Tech.  We are a member fellowship of Servants Ministry, a network of campus fellowships in the DC, Maryland, Virginia area."
Cosplay Club at Virginia Tech,"Cosplay /ˈkäzˌplā,ˈkäsˌplā/ : the practice of dressing up as a character from a movie, book, or video game"
Council for the Advancement of Minority Engineering Organizations,"CAMEO is the umbrella organization for the minority engineering organizations at Virginia Tech. We provide funding and scholarships, and organize the CAMEO CareerFest career fair during the spring semester."
Council of International Student Organizations,"The Council of International Student Organizations (CISO) is the governing body for all international student organizations at Virginia Tech. We represent the international community and we serve as a liaison between the international student organizations and the university administration of Virginia Tech, other campus organizations, and the Blacksburg, VA community."
CreativiTea,"Hello! We are CreativiTea, a creative writing club at Virginia Tech. We're a group of people who like to write and encourage each other to do so! We welcome people interested in any form of writing: poetry, fiction, non-fiction, etc. Any level of experience with writing is wholeheartedly welcomed - if you've never written, but are interested in getting started, feel free to reach out! Come start your story with us :)"
Criminology and Sociology Club,"We are an academic club open to all majors with the purpose of connecting students to resources such as internships, agents with experience, events, and panel discussions in the criminology & sociology fields. We host monthly meetings and put on events with local, state, and federal law enforcement, lawyers, social workers and a number of other professionals working in the criminology and sociology fields."
Cru,We are a campus ministry that meets on Thursday nights at 8pm. Meeting in Squires Colonial weekly. We want to get people connected with other Christians in order to form meaningful relationships and encourage each other in our faith. We also desire to provide opportunities for students who aren't Christians to understand our faith and engage in our community. All are welcome!
CS Squared,The mission of CS Squared is to use our Computer Science skills for Community Service. A major part of our activities is weekly tech help sessions at the Blacksburg Community Center and on zoom. These happen on Friday from 4 to 5. We also run a coding club for kids that happens every other week. We have various short term events throughout the year so be sure to register and add our calendar to stay up to date!
Cultural and Community Centers,"The mission of the Cultural and Community Centers is to promote the academic, personal, and social success of all students, particularly those from under-represented and historically marginalized populations."
Cyber Security Club at Virginia Tech,"The Cyber Security Club at Virginia Tech is a student organization at Virginia Tech founded in spring 2011 with the goal of encouraging and expanding the study of cyber security and related fields. We aim to develop awareness in all areas of cyber security including physical, social, hardware, and software. Our only club requirement is that you know how to turn on and navigate your computer."
Cybertronian Society,We are a Transformers club for Hokies and members of the local Blacksburg community. Our goal is to provide a safe and fun environment to watch and discuss Transformers media and related topics. Everyone is welcome!
Dairy Club at Virginia Tech,The objectives of the Dairy Club are:
Dance Company at Virginia Tech,"Although our members come from a variety of dance backgrounds, we share a common bond in our love for dance. This combination of style and skill are what makes DCVT unique. Our abilities cross a wide range of styles including contemporary, tap, jazz, hip-hop, lyrical, ballet, modern, and heels. All choreography is created by our members and is original to DCVT. "
Dancing's Our Poison,"Founded in May 2009, DOP is a dance crew that hosts weekly dance workshops open to the Virginia Tech community. Our team members also perform at various showcases to inspire others not only to dance but also to pursue their passions. "
Data Structures and Algorithms at Virginia Tech,"We aim to create a community of students who are interested in learning and studying data structures and algorithms. The club provides a platform for members to prepare for technical interviews by discussing DSA topics and questions. Members can collaborate and learn from one another in a supportive environment. The club is dedicated to fostering a passion for computer science and developing technical skills among its members.

Join our discord here: https://discord.gg/fa8YAtVpPW"
DC-Graduate School,This is the DC Area branch of the Virginia Tech Graduate School.
DC-Graduate Student Assembly,The DC-GSA is the official representative body of the VT graduate students in the greater
Debate Club,"The VT Debate Club shut down a few years ago, but we are trying to restart it. Our initial goal is to build support and recruit enough students on campus to start engaging in debate activities. As time goes on, our intention is to attend formal debate tournaments as part of an official college debate organization."
Deeper Life Campus Fellowship,"Deeper Life Campus Fellowship is a gathering for people to practice the love of God. We teach, practice, and follow the Bible to be prepared for life after this world. This is an organization that stands on holiness. Your spiritual, mental, and physical well-being is our concern."
Delight at Virginia Tech,"Delight seeks to establish a college women’s community that grows together, serves together, learns together, and does life together while chasing the heart of God. Delight is intentional about learning from one another through stories and experiences while potentially discovering or continuing to grow in relationships with Christ. Delight exists to be a place where any Virginia Tech woman can come and grow in relationships with others, ask difficult questions, and build a strong community of Christians and non-Christians alike. Delight provides an opportunity for the women of Virginia Tech to explore their faith in a nonjudgmental and open environment. In addition, Delight will provide a variety of service opportunities each semester in order to help and engage Virginia Tech's campus and the local
community. Delight hopes to equip the women of Virginia Tech to give back through these service and fundraising activities."
Delta Chi Fraternity,"The best description of Delta Chi is shown through our Preamble‘s principal ideals that serve as a guide to the daily life as a brother. Furthermore, Delta Chi has developed the Eleven Basic Expectations of each member, as a way to embody and employ these principal values."
Delta Chi Gamma,"Delta Chi Gamma is an independent sorority founded at Virginia Tech in Spring 2014. Delta Chi Gamma is based on the pillars of sisterhood, scholarship, and service to the community but we also have many social events for sisters. "
Delta Delta Delta Sorority,"Delta Delta Delta is a proud member of the Virginia Tech greek community.  Our chapter is founded on sisterhood, academics, and philanthropic service. We are leaders in every way on our campus, we hold the fifth highest sorority grade point average, and attain incredible professional achievements. Furthermore, we raise an impressive amount of money for St. Jude Children's Research Hospital. This spring we have raised over $128,000 in hopes to support St. Jude in their mission to end childhood cancer. "
Delta Epsilon Mu,Mission Statement:
Delta Gamma,Membership in Delta Gamma brings with it endless memories and experiences which will shape its members for years to come. 
Delta Lambda Phi,"In 1986, Delta Lambda Phi Social Fraternity was founded by gay men for all men. For over twenty-five years, Delta Lambda Phi has offered these men the opportunity to lead, to grow, and to form lifelong bonds of friendship with other like-minded men. "
"Delta Omicron, Gamma Mu Chapter","Delta Omicron's goals include fostering fellowship through music, developing character and leadership, encouragement of excellence in scholastic attainment and performance, and providing a place for musicians to come together in their love of music. "
Delta Sigma Phi - Kappa Delta Chapter,"Delta Sigma Phi is a premiere social fraternity at Virginia Tech dedicated to the development of better men and better leaders brought together by the values of Culture, Harmony, and Friendship. We are active on campus not only through Greek life, but also in academic communities, sports, philanthropies and more."
Delta Sigma Pi,"ΔΣΠ believes in upholding the highest standards of professionalism, service, and scholarship while enhancing people skills to improve individuals as a whole in their personal and professional encounters."
Delta Tau Delta,"This organization has not yet completed the steps to be an official Registered Student Organization (RSO), but the organization has a provisional recognition status for the Fall 2024 semester, in partnership with the Fraternity and Sorority Life. Under this provisional status, the organization has received permission to recruit members and operate on campus as they complete their requirements. If you have additional questions, please email gogreek@vt.edu"
Department of Fish and Wildlife Conservation,"Academic unit offering degree in Fish & Wildlife Conservation, with Majors in Freshwater Fish Conservation, Marine Fish Conservation, Wildlife Conservation and a Pathways Minor in Biodiversity Conservation."
Department of Philosophy,"We teach courses in Philosophy, and sponsor the majors in Philosophy, and Philosophy Pre-Med track, and the minors in Philosophy, and PPE (Philosophy, Politics, and Economics).  "
"Department of Plant Pathology, Physiology, & Weed Science","The Department of Plant Pathology, Physiology and Weed Science consists of 22 tenured or tenure track faculty at our Blacksburg location or one of five Agricultural Research Extension Centers in the Commonwealth. "
Design,We are a student-led ministry movement that meet weekly for Bible Studies. We also have different opportunities to socialize together throughout the year. Our goal is to bring together South Asian/South Asian American students and grow in our walk with God and ultimately build friendships with other South Asian believers. We are dedicated to  Honoring Christ as well as celebrating Desi Culture. If you are looking to explore faith and find a good community. This is a space for you!
Design Build Fly,"Design Build Fly at Virginia Tech is an engineering design team that competes in the annual AIAA Design, Build, Fly competition sponsored by Raytheon and Textron. The challenge is to design, build, and fly an RC aircraft in accordance with the year's rules then compete in the competition either at Wichita, Kansas or Tucson, Arizona. You can see this year's rules here: http://www.aiaadbf.org/"
Destructive Arena Robotics Team at Virginia Tech,"DART is a design team focused on iterative design, experimentation, project planning, rapid development, testing, reparability, and design for assembly. We create robots at various weight classes for year-round BattleBot competitions that will serve to test our robots, guide our iterative design process, and test our modularity and reparability. Ultimately, we are a quick-moving team emphasizing our process of planning, modeling, building, and competing, while trying to emulate expectations from industry."
Dhamaal at Virginia Tech,"We are Virginia Tech's premiere Garba/Raas team. Dhamaal is a co-ed competitive dance team that strives to bring attention and pay homage to the garba/raas folk dance of our ancestors. Founded in 2004, Dhamaal at VT works to promote the rich culture and vibrant traditions of Indian dance. Our team showcases their energy and love for garba/raas though on-campus events, various performances and competitions. We would love to share our energy, dance, and passion with you!"
Digerati Living-Learning Community,"Digerati students are required to take first-year classes to learn and practice project management approaches commonly utilized in professional information technology environments and will gain certifications that are commonly held by IT professionals. Students will utilize professional project management practices as they collaborate on academic, career, outreach, and social experiences associated with the community. As such, the community will require students to actively participate in the aforementioned activities as they are intertwined with course-related content."
Dining Services,"VTDining is ranked among the nation’s best, providing our Hokies with service committed to innovation, satisfaction, & chicken parm. 🦃🧡"
Disability Alliance,"The Disability Alliance (DA) is a Registered Student Organization which works collaboratively with the Faculty/Staff Disability Caucus and will contain other committees and sub-groups as needed. The groups are commonly referred to together as the ""Disability Alliance and Caucus"" or ""DAC"" for short."
Disc Golf Club at Virginia Tech,"Our main goal as an organization is to congregate and expand the disc golf community at VT. We plan to put together certain events throughout the school year for all skill-level players to compete in. We also want to put together a competitive team of advanced players to compete in collegiate events with a goal of qualifying for and attending the national championship tournament, which is held in Rock Hill, SC."
Diversity Network,"The mission of DEIB Networks (Diversity, Equity, Inclusion, and Belonging) is to empower and support students in their professional journey by fostering a community that values diversity and inclusivity. Our organization is dedicated to bridging the gap between talented students from diverse backgrounds and the vast array of internship opportunities available across various industries. We aim to create an environment where every student, regardless of their background, feels included and has equal access to the tools, resources, and networks necessary to succeed in the competitive world of jobs."
Division of Information Technology,"We are responsible for data networks, internet and telecom services, computing & software, enterprise-level business services, classroom technology, IT security/identity mgmt, collaboration platforms, helpdesk services, outreach, and customer support"
Dr. Ambedkar International Mission (AIM) at Virginia Tech,"The goal of Dr. Ambedkar International Mission (AIM) at Virginia Tech is to represent and support students coming from Scheduled Caste (SC)*, Scheduled Tribe (ST)**, and Other Backward Caste (OBC)*** communities. The Caste System has its origins in India and divides people into rigid hierarchical groups. The SCs, STs, and OBCs were considered at the bottom of this hierarchy, resulting in their systemic marginalization. In the US, Caste biases can create a hostile environment for SCs, STs, and OBCs students. We aim to create a more inclusive environment for such students at VT. Our goal aligns with US-wide efforts for protecting the rights and interests of SCs, STs, and OBCs students in several academic institutes, including Harvard, Columbia, Georgetown, Brandeis, and all Cal State Universities. We also intend to empower students from lower-caste communities in rural India who want to pursue education in the US. VT students from all backgrounds and communities can join us and support our cause. "
DreamCorps chapter at Virginia Tech,"DreamCorps International is a non-profit organization that is dedicated to helping to solve education inequality through promoting reading in schools in rural China. Founded by a group of Chinese scholars in North Carolina. There are 11 chapters in universities in the US and Canada; the DreamCorps at Virginia Tech chapter will be serving children in rural China by bringing awareness of the situation in rural China and recruiting volunteers for summer service trips. More importantly, we are here to help our student body to become more responsible social members by serving our community."
Drone Racing Team,"Started in 2016 by two guys and a dream, the Drone Racing Team at Virginia Tech strives to expose interested students to the freedom and excitement of the sky through FPV drone platforms. We compete nationally with the Collegiate Drone Racing Association, and won the collegiate championship this past spring (2024). "
DSA HR,Provide Human Resources Support to the Division
DSA Student Employee Development Forum,The SEDF is a network of professionals who provide training and development to DSA student employees.
Ducks Unlimited Chapter at Virginia Tech,"Ducks Unlimited's vision is to support wetlands in order to fill the skies with waterfowl today, tomorrow, and for the years to come. Through fundraising banquets, engaging socials, and your membership, our chapter will help achieve this vision by supporting our national chapter. We encourage anyone to join us at a meeting, regardless of experience or knowledge, because conservation is something that impacts everyone everyday whether we know it or not. "
e-NABLE at Virginia Tech,e-NABLE at Virginia Tech
Economics Club at Virginia Tech,"The mission of the Economics Club is to create a space for all students interested in Economics to discuss and collaborate with each other as well as give students the opportunity to connect with faculty and guest speakers. Further, the Economics Club will serve as a hub for students interested in the Economics department and/or individual Economics courses to learn more about them. The Economics Club will connect students with potential jobs and/or research opportunities and will provide a variety of professional and social events."
Economics Graduate Student Association,"EGSA is a student organization formed by graduate students of Economics. All current and future graduate students with an Economics major can become EGSA members. The main goal of EGSA is to communicate the needs of graduate students in the department and provide the necessary support for them to pursue their educational purposes, such as participating in conferences, workshops and attending the review sessions. Also, we would like to help students accomplish their research goals by inviting speakers."
EDM Club at Virginia Tech,"The EDM Club at Virginia Tech is a social organization/community created for those who are passionate about electronic music. We organize events to enjoy music, make connections, and create a tight-knit community here at Virginia Tech. Along with this, we travel as a group to different concerts and music festivals. Everyone is invited to join!"
Education For Empowerment at Virginia Tech,"Through our club, we aim to raise awareness about the importance of education, actively work towards breaking down the barriers that prevent students from achieving their full potential, and bridge the education gap for students who are deprived."
Egyptian Student Association,"Egyptian Student Organization is an organization dedicated to gathering the at-large Egyptian community at Virginia Tech and connecting them with one another, while simultaneously celebrating and sharing Egyptian culture with all members of the community."
Elevate Magazine, 
Embroiderers' Guild of America at Virginia Tech,"The Embroiderers' Guild of America at Virginia Tech is chapter of the National organization, Embroiderers' Guild of America (EGA). EGA's mission is to preserve and promote needle arts. EGA at Virginia Tech also believes in this mission while also focusing on using needle arts as a creative and healthy way to destress as college students."
Engineering Volleyball League at Virginia Tech,Teams from each engineering major get the opportunity to play against each other every Friday during the spring semester. Our league culminates in a tournament to crown the best major and win a trophy for your department. All skill levels are welcome to play. We are looking to create a fun and inviting atmosphere for students to de-stress from classes and meet other engineers. 
Engineers in Action at Virginia Tech (F.K.A Bridges to Prosperity at Virginia Tech),"Engineers in Action (formerly known as Bridges to Prosperity) at Virginia Tech is a student led service organization that seeks to empower developing communities through the design and construction of footbridges thereby advancing community public works, economic prosperity, and community access to schools, medicine, jobs, and markets. Engineers in Action seeks to advance the lives of each student involved by providing an opportunity to broaden cultural perspectives, gain hands-on professional experience, and by allowing each student to use their own education to serve others who are less fortunate."
Engineers Without Borders,"Hello from Engineers Without Borders—Virginia Tech! EWB is a student chapter of the national organization Engineers Without Borders. Our mission is to partner with disadvantaged areas to improve their quality of life through the implementation of environmentally, equitably, and economically sustainable engineering projects, while developing internationally responsible engineers and engineering students through education, encouragement, and experience."
Engineers' Forum Magazine,"Engineers' Forum Magazine highlights the exciting engineering-related activities, organizations, and events happening on the Virginia Tech campus and throughout the Blacksburg community. We hire students both at the undergraduate and graduate level to work for us, while mainly hiring writers and photographers."
English Club,"VT English Club is for students interested in English, whether that be writing or reading, to come together to make friends and share interests. We hope to encourage involvement in the department and the Blacksburg community. "
English Graduate Student Organization,"The English Graduate Student Organization (EGSO) is a community organization for English department graduate students across all programs (MA, MFA, and PhD) at Virginia Tech. EGSO provides opportunities for social engagement, fellowship, and collegiality throughout each semester, with the goal of supporting students department-wide."
Entomology Club at Virginia Tech,"The Entomology Club at Virginia Tech is centered around experiencing entomology in the field. Join us for any one of our excursions to local hiking trails and nearby steams to collect insects for fun, or for your collection. "
Entrepreneurship Club at Virginia Tech,The purpose of Entrepreneurship Club is simple: we create a community of individuals who are comfortable and confident in starting projects and building ideas.
Environmental Coalition,"Environmental Coalition (EC) at Virginia Tech is a student-run, horizontal organization dedicated to empowering and educating VT students about environmental issues. Our mission is to advocate for a sustainable future by uniting, educating and motivating community members to serve at the local, state, and national levels through promoting sustainability, fostering environmental awareness, and enabling positive change on the Virginia Tech campus and surrounding Blacksburg area. Anyone is welcome and encouraged to join us in our weekly meetings and any other event we hold with an attitude of mindfulness and respect for each other's being and ideas. There are no dues to be a member nor financial requirements to attend events."
Environmental Student Organization,"This club is centered around spreading environmental awareness - for those in the club and those around campus. We host fun activities such as trash pick-up events, hikes, guest speakers, and so much more! Do you want to expand your environmental knowledge and activism? Then ESO is the place for you!"
Epsilon Sigma Alpha,"Epsilon Sigma Alpha is all about service! Here at Virginia Tech we are surrounded by awesome people who want to help out in the community, and we want to help them do that! We are co-ed service fraternity that focuses on helping out in our local community and fundraising for our primary philanthropy, St. Jude's Children's Research Hospital. We are a close-knit group that also strives to build a sense of community and camaraderie. We also attend educational opportunities and other outreach events in order to encourage our members to better themselves. If you are interested in service, making some friends, or getting more involved in the community, please consider joining ESA!"
Eritrean-Ethiopian Student Association at Virginia Tech,"Eritrean/Ethiopian culture is both rich and diverse. It consists of traditions from many tribes, different languages, and a variety of foods. The purpose of EESA is to share this culture with those who are and aren't familiar with it. With members consisting of American and international students, we are a space that provides support for academic endeavors through guidance and networking opportunities with VT alumni. A space that hopefully feels like home for students."
Eta Lambda Chapter of The Omega Psi Phi Fraternity Inc.,The History of Eta Lambda
Eta Sigma Delta,"Eta Sigma Delta is the Hospitality Honor Society and invites students to become members once they have reached minimum 60 credit hours (50% of total credit hours)  and have met eligibility criteria. These criteria consist of an overall GPA of at least 3.0, be a distinguished graduate student, or meet the exception noted. The goal of this organization is to promote academic excellence and to provide professional development opportunities in the Hospitality and Tourism industry."
Ethiopian Orthodox Tewahedo Church Campus Ministry at Virginia Tech,"The Ethiopian Orthodox Tewahedo Church Campus Ministry at Virginia Tech is a community dedicated to spreading the gospel and fostering spiritual growth and deepening the understanding of the Ethiopian Orthodox faith among students on campus. Rooted in the ancient traditions of the Ethiopian Orthodox Tewahedo Church, our organization provides a welcoming space for students to explore and strengthen their faith journey. Through regular gatherings, prayer meetings, and educational activities, we aim to empower our members to embrace their religious identity and deepen their connection to God. Whether you're a devout follower of the Ethiopian Orthodox Church or someone seeking to learn more about our faith, we invite you to join us as we seek to grow together in faith, fellowship, and spiritual enrichment."
European & Transatlantic Affairs Organization,"The European & Transatlantic Affairs Organization (ETAO) aims to inform students about the various events and important relationships within the transatlantic region while also preparing our members for careers in international and foreign affairs. As the world increasingly seems to go towards an unpredictable and unstable path, learning about the strongest relationship in the world with the United States and Europe is essential. Working directly with the Center of European and Transatlantic Studies at Virginia Tech, ETAO prepares students for a variety of experiental learning activites and competitions (Model NATO, EU Simulation, and the Schuman Challenge) and offering unique opportunites to increase their knowledge of the region through ""internships"" at CEUTSS. "
Event Planning,"Reservation requests are taken for venues in the following facilities: Squires Student Center, Johnston Student Center, Burruss Hall Auditorium, the Graduate Life Center, and various outdoor locations. In addition, requests are taken for advertising locations, such as: banners, A-Frame display spots, and display cases inside Squires Student Center."
Eventing at Virginia Tech,"The purpose of our club is to function as a team and participate in local horse trials and sanctioned intercollegiate horse trials, as well foster a community and support system of eventers, show jumpers, and dressage riders, in college and graduate school, supporting each other through encouragement and education."
Exodus at Virginia Tech,"Exodus at Virginia Tech is a live and video dance and performance crew that focuses on presenting Korean Pop music to the public. Members actively pursue their love and interest for performance and Korean Pop music through vigorous practices in order to present an impactful stage. We hope to not only help our members grow in their performance ability, but involve the community and show how diverse and unified we are as a group. Our goal is to help members expand their performance capabilities while spreading our love for Korean Pop culture and creating a successful performance group and close-knit family. We are frequently invited to many events around Blacksburg, on the Virginia Tech campus, and at other college campuses, and we love to collaborate with different dance groups from other schools. Exodus is constantly at work - whether we are making music videos, preparing for showcases, planning events, dancing at KCON, or working on a set for the K-Pop World Festival. We accept dancers of all skill levels and encourage everyone who has a love for Korean Pop culture to consider joining our club."
Fashion Merchandising and Design Society at Virginia Tech,"FMDS at Virginia Tech's mission is to connect the Fashion Merchandising and Design program and all the fashion related organizations into a unified community. FMDS at Virginia Tech provides workshops and activities to all students (of any major, all are welcome!) to develop skills in all aspects of the industry. This club also provides leadership opportunities through both FMDS and through the NRF Foundation."
Fellowship of Christian Athletes at Virginia Tech,"The FCA is touching millions of lives... one heart at a time.  Since 1954 the FCA has been challenging coaches and athletes on the professional, college, high school, jr. high and youth levels to use the powerful medium of athletics to impact the world for Jesus Christ.  FCA at VT focuses on serving the college sports culture at by equipping, empowering and encouraging athletes and coaches to make a difference for Christ. "
Fem at Virginia Tech!!!,"Interested in presenting feminine, but don't know how to start? Join our club! Everyone, and I really do mean everyone; queer or not, Blacksburg area or not, are welcomed! <333
We host events every Saturday from 2:00 PM - 5:00 PM at the Data and Decision Sciences Building! (room location changes based on availability)."
Field Hockey Club,This club opens the door to those who missed playing field hockey and have no time to be dedicated to a club/intramural sport. This environment is laid back and welcoming to anyone who wants to join! Make new friends and bond over a sport that we all love!
Filipino American Student Association,"Through our main purposes, FASA strives to promote the Filipino and Filipino-American culture through cultural, educational and social activities. We hope to enhance interaction between Filipinos and other students, faculty, and staff of the Virginia Polytechnic Institute and State University. Through our organization, we strive to encourage the growth of the talents and intellect of Filipino Americans and also foster a sense of unity and pride within the organization. FASA also provides a supportive community for Filipino American students, helping them to connect with one another and build friendships."
Finance Club,"The Finance Club at Virginia Tech is a dynamic club that brings together people from across Virginia Tech that all have a common passion for finance. The club is open to students from all majors and offers an opportunity for them to further their education and interpersonal skills outside of the classroom. As a socially and event focused organization, we seek to provide a relaxed outlet for student networking, career education, and interaction amongst students and faculty with an interest in finance."
